exchange,symbol,price,timestamp,bid,ask,volume
Bitstamp,BTC-USD,109885.0,2025-11-01 22:05:45+00:00,0.0,0.0,0.00117
Coinbase,BTC-USD,109892.89,2025-11-01 22:05:45.574241+00:00,109892.88,109893.5,1679.95924734
Coinbase,BTC-USD,109893.5,2025-11-01 22:05:45.574241+00:00,109892.88,109896.96,1679.96015693
Coinbase,BTC-USD,109896.96,2025-11-01 22:05:45.628128+00:00,109896.95,109896.96,1679.96052785
Coinbase,BTC-USD,109896.96,2025-11-01 22:05:45.628948+00:00,109896.95,109897.2,1679.98193695
Coinbase,BTC-USD,109897.2,2025-11-01 22:05:45.628948+00:00,109896.95,109900.0,1679.98194795
Coinbase,BTC-USD,109900.0,2025-11-01 22:05:45.684083+00:00,109899.99,109900.41,1679.98744795
Coinbase,BTC-USD,109900.41,2025-11-01 22:05:45.684326+00:00,109900.0,109901.64,1679.98746261
Coinbase,BTC-USD,109901.64,2025-11-01 22:05:45.687979+00:00,109901.56,109902.24,1679.98764453
Bitstamp,BTC-USD,109885.0,2025-11-01 22:05:45+00:00,0.0,0.0,0.1
Coinbase,BTC-USD,109902.24,2025-11-01 22:05:45.751706+00:00,109902.23,109907.28,1679.98765553
Coinbase,BTC-USD,109907.28,2025-11-01 22:05:45.751706+00:00,109902.23,109909.47,1679.98766653
Coinbase,BTC-USD,109909.47,2025-11-01 22:05:45.751706+00:00,109902.23,109910.89,1679.98857601
Coinbase,BTC-USD,109910.89,2025-11-01 22:05:45.751706+00:00,109902.23,109910.89,1679.98949136
Coinbase,BTC-USD,109909.47,2025-11-01 22:05:45.804404+00:00,109909.46,109910.48,1679.99040077
Coinbase,BTC-USD,109910.48,2025-11-01 22:05:45.804404+00:00,109909.46,109910.48,1680.00880196
Coinbase,BTC-USD,109912.06,2025-11-01 22:05:46.002321+00:00,109912.05,109912.06,1680.00914322
Coinbase,BTC-USD,109912.06,2025-11-01 22:05:46.002321+00:00,109912.05,109912.32,1680.00948448
Coinbase,BTC-USD,109912.32,2025-11-01 22:05:46.002321+00:00,109912.05,109914.08,1680.00949548
Coinbase,BTC-USD,109914.08,2025-11-01 22:05:46.002321+00:00,109912.05,109914.08,1680.01334643
Binance,BTC-USD,110164.82,2025-11-01 22:05:46.088000+00:00,109858.07,110163.28,2.49779
Coinbase,BTC-USD,109917.36,2025-11-01 22:05:46.288481+00:00,109917.35,109917.36,1680.01335743
Coinbase,BTC-USD,109917.36,2025-11-01 22:05:46.288481+00:00,109917.35,109917.36,1680.01353634
Binance,BTC-USD,110164.82,2025-11-01 22:05:46.167000+00:00,109858.07,110163.27,2.49779
Coinbase,BTC-USD,109916.17,2025-11-01 22:05:47.129976+00:00,109916.16,109916.17,1680.01442064
Bitstamp,BTC-USD,109891.0,2025-11-01 22:05:47+00:00,0.0,0.0,0.00087
Coinbase,BTC-USD,109916.17,2025-11-01 22:05:47.325091+00:00,109916.16,109916.17,1680.01552601
Coinbase,BTC-USD,109916.17,2025-11-01 22:05:47.658314+00:00,109916.16,109916.17,1680.01578376
Binance,BTC-USD,110164.82,2025-11-01 22:05:47.669000+00:00,109858.07,110163.21,2.49779
Coinbase,BTC-USD,109915.1,2025-11-01 22:05:48.194445+00:00,109915.1,109915.11,1680.01745514
Binance,BTC-USD,110164.82,2025-11-01 22:05:48.870000+00:00,109858.07,110163.19,2.49779
Coinbase,BTC-USD,109915.11,2025-11-01 22:05:49.165655+00:00,109915.1,109915.11,1680.01836454
Coinbase,BTC-USD,109915.11,2025-11-01 22:05:49.165655+00:00,109915.1,109915.11,1680.02982648
Coinbase,BTC-USD,109915.12,2025-11-01 22:05:49.197602+00:00,109915.11,109915.12,1680.05712026
Coinbase,BTC-USD,109915.12,2025-11-01 22:05:49.197602+00:00,109915.11,109917.36,1680.05802969
Coinbase,BTC-USD,109917.36,2025-11-01 22:05:49.197602+00:00,109915.11,109917.94,1680.05803527
Coinbase,BTC-USD,109917.94,2025-11-01 22:05:49.197602+00:00,109915.11,109917.94,1680.07282648
Binance,BTC-USD,110164.82,2025-11-01 22:05:50.070000+00:00,109858.07,110163.1,2.49779
Coinbase,BTC-USD,109916.81,2025-11-01 22:05:50.245434+00:00,109916.8,109916.97,1680.07373591
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:50.245434+00:00,109916.8,109916.97,1680.07458287
Binance,BTC-USD,110163.08,2025-11-01 22:05:51.071000+00:00,109858.07,110163.04,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:51.885816+00:00,109916.96,109916.97,1680.07484854
Binance,BTC-USD,110163.08,2025-11-01 22:05:52.125000+00:00,109858.07,110163.03,2.49823
Binance,BTC-USD,110163.08,2025-11-01 22:05:53.090000+00:00,109858.08,110163.02,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:53.981360+00:00,109916.96,109916.97,1679.32777495
Binance,BTC-USD,110163.08,2025-11-01 22:05:53.974000+00:00,109858.08,110162.96,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:54.974082+00:00,109916.96,109916.97,1679.32790663
