exchange,symbol,price,timestamp,bid,ask,volume
Coinbase,BTC-USD,109996.0,2025-11-01 23:15:19.507413+00:00,109995.99,109996.0,1676.54276135
Binance,BTC-USD,110243.51,2025-11-01 23:15:19.111000+00:00,109914.86,110243.02,2.43764
Coinbase,BTC-USD,109996.0,2025-11-01 23:15:20.018749+00:00,109995.99,109996.0,1676.56025551
Coinbase,BTC-USD,109996.0,2025-11-01 23:15:20.018749+00:00,109995.99,109996.0,1676.56490578
Coinbase,BTC-USD,109996.0,2025-11-01 23:15:20.018749+00:00,109995.99,109996.0,1676.5692637
Coinbase,BTC-USD,109992.74,2025-11-01 23:15:20.431396+00:00,109992.73,109992.74,1676.570368
Coinbase,BTC-USD,109992.74,2025-11-01 23:15:20.645130+00:00,109992.73,109992.74,1676.57252794
Binance,BTC-USD,110243.51,2025-11-01 23:15:20.650000+00:00,109914.86,110242.97,2.43764
Binance,BTC-USD,110243.51,2025-11-01 23:15:21.513000+00:00,109914.86,110242.98,2.43764
Coinbase,BTC-USD,109992.74,2025-11-01 23:15:22.027656+00:00,109992.73,109992.74,1676.57267456
Coinbase,BTC-USD,109992.74,2025-11-01 23:15:22.649561+00:00,109992.73,109992.74,1676.57767607
Coinbase,BTC-USD,109992.74,2025-11-01 23:15:22.652613+00:00,109992.73,109992.74,1676.57948698
Binance,BTC-USD,110243.51,2025-11-01 23:15:22.214000+00:00,109914.86,110242.96,2.43764
Coinbase,BTC-USD,109992.74,2025-11-01 23:15:23.360787+00:00,109992.73,109992.74,1676.58076495
Binance,BTC-USD,110243.51,2025-11-01 23:15:23.515000+00:00,109914.88,110242.92,2.43764
Coinbase,BTC-USD,109992.74,2025-11-01 23:15:23.963323+00:00,109992.73,109992.74,1676.58080995
Coinbase,BTC-USD,109992.74,2025-11-01 23:15:24.122155+00:00,109992.73,109992.74,1676.58169347
Coinbase,BTC-USD,109993.23,2025-11-01 23:15:24.541769+00:00,109993.23,109993.24,1676.58175337
Coinbase,BTC-USD,109993.23,2025-11-01 23:15:24.541769+00:00,109993.23,109993.24,1676.58637512
Bitstamp,BTC-USD,109991.0,2025-11-01 23:15:24+00:00,0.0,0.0,0.00087
Binance,BTC-USD,110243.51,2025-11-01 23:15:24.415000+00:00,109914.88,110242.88,2.43764
Binance,BTC-USD,110243.51,2025-11-01 23:15:25.648000+00:00,109914.88,110242.81,2.43764
Coinbase,BTC-USD,109997.51,2025-11-01 23:15:26.007907+00:00,109996.45,109997.51,1676.58723749
Binance,BTC-USD,110243.51,2025-11-01 23:15:26.517000+00:00,109914.9,110242.83,2.43764
Coinbase,BTC-USD,109997.51,2025-11-01 23:15:26.855571+00:00,109997.5,109997.51,1676.59342198
Coinbase,BTC-USD,109997.53,2025-11-01 23:15:27.335954+00:00,109997.52,109997.53,1676.59479004
Coinbase,BTC-USD,109997.52,2025-11-01 23:15:27.352774+00:00,109995.38,109997.53,1676.59482461
Coinbase,BTC-USD,109995.38,2025-11-01 23:15:27.352774+00:00,109995.38,109997.53,1676.59484847
Binance,BTC-USD,110243.51,2025-11-01 23:15:27.618000+00:00,109914.9,110242.77,2.43764
Coinbase,BTC-USD,109997.52,2025-11-01 23:15:27.980847+00:00,109995.37,109997.53,1676.59488304
Coinbase,BTC-USD,109995.37,2025-11-01 23:15:27.980847+00:00,109995.37,109997.53,1676.59661695
Binance,BTC-USD,110243.51,2025-11-01 23:15:28.618000+00:00,109914.93,110242.79,2.43764
Bitstamp,BTC-USD,109991.0,2025-11-01 23:15:28+00:00,0.0,0.0,0.00375
Coinbase,BTC-USD,109998.14,2025-11-01 23:15:29.468676+00:00,109998.13,109998.14,1676.59773797
Binance,BTC-USD,110243.51,2025-11-01 23:15:29.523000+00:00,109914.93,110242.75,2.43764
Coinbase,BTC-USD,109998.0,2025-11-01 23:15:30.420546+00:00,109997.99,109998.0,1676.60657295
Binance,BTC-USD,110243.51,2025-11-01 23:15:30.520000+00:00,109914.94,110242.71,2.43764
Binance,BTC-USD,110243.51,2025-11-01 23:15:31.620000+00:00,109914.94,110242.63,2.43764
Coinbase,BTC-USD,109997.99,2025-11-01 23:15:32.640517+00:00,109992.73,109998.0,1676.60661065
Coinbase,BTC-USD,109992.73,2025-11-01 23:15:32.640517+00:00,109992.73,109998.0,1676.60757804
Binance,BTC-USD,110243.51,2025-11-01 23:15:32.221000+00:00,109914.96,110242.62,2.43764
